pct,n_molecules_added,n_conformers_added,arm,seed,test_seed,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
65,3632,36120,unique,9,20250709,0.7031693432849371,0.700487012987013,0.5887573964497042,0.720962094687167,0.8024708690158641
65,3632,36120,duplicate,9,20250709,0.6596518712440598,0.6781548250265111,0.5156105100463678,0.6860831234256927,0.7587590264776678
70,3912,38922,unique,0,20250722,0.7183032380001391,0.7099957704779359,0.6207409611664931,0.7440798858773181,0.7983963344788088
70,3912,38922,duplicate,0,20250722,0.6863667519585013,0.6765340733888375,0.5939880869926583,0.7131050767414404,0.7618397707110687
70,3912,38921,unique,1,20250701,0.7089135384829917,0.7170981661272924,0.5895156345800122,0.7484067608755888,0.7806335923490735
70,3912,38921,duplicate,1,20250701,0.666505234378703,0.6963115280812235,0.5087412587412588,0.7223697079782032,0.7385984427141268
70,3912,38965,unique,2,20250702,0.7203541779775584,0.7185595567867036,0.6254017046248428,0.7428397318708104,0.7946157186278767
70,3912,38965,duplicate,2,20250702,0.6675899803800499,0.6602870813397129,0.5807040417209909,0.6905948820206048,0.738773916438891
70,3912,38941,unique,3,20250703,0.7073035938782919,0.7181704085901548,0.604128157732594,0.7265807962529274,0.7803350129374915
70,3912,38941,duplicate,3,20250703,0.6696562427031922,0.6843485864179539,0.563567649281935,0.6902182446223897,0.7404904904904905
70,3912,38949,unique,4,20250704,0.7107054136873059,0.702225734228895,0.595700518902891,0.7590019846895378,0.7858934169278997
70,3912,38949,duplicate,4,20250704,0.6769769742032558,0.6543833580980684,0.563543535255968,0.7379148877565074,0.7520661157024794
70,3912,38938,unique,5,20250705,0.7240519121131155,0.7148257034859303,0.6051899907321594,0.7652223166241858,0.8109696376101861
70,3912,38938,duplicate,5,20250705,0.6864229498438861,0.6913155631986242,0.565388862596624,0.7234103222127174,0.7655770513675784
70,3912,38957,unique,6,20250706,0.7248697890768349,0.7219962028749661,0.6147490820073439,0.7553778268063982,0.8073560446186313
70,3912,38957,duplicate,6,20250706,0.688994432830803,0.678504403060488,0.5755437130923232,0.7327202610501334,0.7692093541202673
70,3912,38973,unique,7,20250707,0.7199060885556802,0.7163969035890219,0.6021571648690293,0.7546003652198342,0.8064699205448355
70,3912,38973,duplicate,7,20250707,0.6537739102442417,0.6888444222111055,0.4502821560614906,0.7157162726008345,0.7602527901035364
70,3912,38923,unique,8,20250708,0.7170142038861842,0.6973941858713661,0.5962554008641383,0.7617203706264694,0.8126868581827635
70,3912,38923,duplicate,8,20250708,0.6794450975397539,0.6782222222222222,0.5486284289276808,0.7178393745557925,0.77309036445332
70,3912,38909,unique,9,20250709,0.7054666454693946,0.7075598601022329,0.5879539680167389,0.7223979514987197,0.803954802259887
70,3912,38909,duplicate,9,20250709,0.6596108718783275,0.6813771101954008,0.5202401108203787,0.6806962025316455,0.7561300639658849
75,4191,41702,unique,0,20250722,0.717786395199832,0.7044222539229672,0.618197905913582,0.7471526195899773,0.8013728013728014
75,4191,41702,duplicate,0,20250722,0.6854337938682629,0.6734473724764987,0.5947667174304305,0.7141379819766583,0.7593831035894636
75,4191,41699,unique,1,20250701,0.7149015522882873,0.7194166891709425,0.5995730405611467,0.7550200803212851,0.785596399099775
75,4191,41699,duplicate,1,20250701,0.6625734659924418,0.6943696293446198,0.5003503854239664,0.7208913649025069,0.7346824842986741
75,4191,41736,unique,2,20250702,0.7210285413417874,0.7194363862411935,0.6276759479501889,0.739963503649635,0.7970383275261324
75,4191,41736,duplicate,2,20250702,0.6668110354613251,0.6539297918608263,0.5800362037755366,0.6911447084233261,0.7421334377856117
75,4191,41724,unique,3,20250703,0.7079576367146736,0.7093981287529675,0.5977610795890201,0.7350751715078091,0.789596167008898
75,4191,41724,duplicate,3,20250703,0.6714850931764488,0.6805003679175865,0.5688622754491018,0.6952156862745098,0.7413620430645969
75,4191,41723,unique,4,20250704,0.7113987476606101,0.7061143984220908,0.5962399283795882,0.757001414427157,0.7862392494136043
75,4191,41723,duplicate,4,20250704,0.6773355750827438,0.6533333333333333,0.5613793103448276,0.7417931034482759,0.7528365532045385
75,4191,41710,unique,5,20250705,0.7268838749330782,0.7154494382022472,0.6102524866105585,0.7636517567376887,0.8181818181818182
75,4191,41710,duplicate,5,20250705,0.6858888306539462,0.6870118599942147,0.5634549423136888,0.7240838442891773,0.769004676018704
75,4191,41730,unique,6,20250706,0.7271711915053519,0.7221095334685599,0.6185692541856925,0.7574954678566448,0.8105105105105105
75,4191,41730,duplicate,6,20250706,0.6860018910311368,0.6792562463683904,0.5716330327751539,0.7272727272727273,0.7658455577082757
75,4191,41740,unique,7,20250707,0.7176397266333702,0.713329615170106,0.5946537439424731,0.7540709812108559,0.8085045662100456
75,4191,41740,duplicate,7,20250707,0.6510340436902902,0.6854647535870243,0.4428794992175274,0.71484375,0.7609481719566091
75,4191,41700,unique,8,20250708,0.7190117429705309,0.7016482685619235,0.597664373700208,0.7632850241545893,0.8134493054654031
75,4191,41700,duplicate,8,20250708,0.672189840265465,0.6732381933205827,0.5324128641185385,0.714184497661896,0.768923805960843
75,4191,41691,unique,9,20250709,0.7083739668709155,0.7082937423645989,0.5978710821998817,0.7228080747213016,0.8045229681978798
75,4191,41691,duplicate,9,20250709,0.6616662794349724,0.6781115879828327,0.5203227279646826,0.6862621817038667,0.7619686200885074
80,4470,44482,unique,0,20250722,0.7257212098817283,0.7135735650192281,0.6296513331380018,0.753763135472877,0.8058968058968059
80,4470,44482,duplicate,0,20250722,0.68656142587209,0.6783227603280211,0.5992560958809754,0.7098015990524134,0.7588652482269503
80,4470,44465,unique,1,20250701,0.7142043447458482,0.7133775192749898,0.5995416348357525,0.7555923777961889,0.7883058470764618
80,4470,44465,duplicate,1,20250701,0.665027898898314,0.699051525249936,0.5081880612783941,0.7170860558876686,0.7357859531772575
80,4470,44503,unique,2,20250702,0.7191787335299525,0.717795574860866,0.6172522136532419,0.7421898695784046,0.7994772760272978
80,4470,44503,duplicate,2,20250702,0.6635958047614774,0.6485984203190336,0.5782445222351873,0.6876240900066182,0.7399161864850707
80,4470,44493,unique,3,20250703,0.708643161750458,0.71267252195734,0.6024356405117928,0.7320413813201224,0.7874231032125769
80,4470,44493,duplicate,3,20250703,0.6721782023234857,0.6866325785244705,0.5675553547220967,0.6936163571094116,0.7409085189379641
