seed,test_seed,anchor_seed,arm,anchor_type,added_type,n_added,n_conformers_added,n_train_conformers,accuracy,macro_f1,f1_Co+2,f1_Ni+2,f1_Cu+2,f1_Zn+2
2,20250702,3003,A1_short_add_trimer,short,trimer,2200,21857,29793,0.7066427289048474,0.7068197182053882,0.7095652173913043,0.5966594045025417,0.731847809610429,0.7892064413172784
2,20250702,3003,A1_short_add_trimer,short,trimer,3000,29822,37758,0.7085098743267505,0.7089656246566023,0.7124417831004657,0.6017981438515081,0.7359398496240601,0.7856827220503756
2,20250702,3003,A1_short_add_trimer,short,trimer,4000,39782,47718,0.7149012567324955,0.7157898918505824,0.7145156962704589,0.6084838062482086,0.7399245283018868,0.8002355365817754
2,20250702,3003,A1_short_add_trimer,short,trimer,4788,47628,55564,0.7217953321364452,0.7227181349874543,0.7208650380456548,0.6145203111495247,0.7487670004483634,0.8067201903062742
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,0,0,7967,0.6712387791741472,0.670089465996511,0.6887383356768503,0.5479410423947728,0.6964024568587306,0.7472760290556901
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,100,998,8965,0.6732495511669659,0.6725631690050966,0.6888544891640866,0.5550210463018641,0.6984219754529515,0.7479551651014844
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,200,1995,9962,0.6813644524236984,0.680693394408525,0.6939932972415571,0.5695344282055146,0.7035897435897436,0.755656108597285
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,350,3484,11451,0.680359066427289,0.6800965942550379,0.6938349007314525,0.5637603795966786,0.7058476948004124,0.7569434018916079
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,500,4978,12945,0.6842369838420108,0.684044020007854,0.6976804795413083,0.5668940967072086,0.7075430083811204,0.764058495401779
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,700,6965,14932,0.6893357271095153,0.6889616121524977,0.7017225747960109,0.5732217573221757,0.71071953010279,0.7701825863890146
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,900,8948,16915,0.693213644524237,0.6938513451868434,0.7009663097414468,0.5817490494296578,0.7175033122331812,0.775186709343088
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,1200,11939,19906,0.6978096947935368,0.6981759096756623,0.6995991206517522,0.5843828715365239,0.7232341181697024,0.7854875283446712
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,1600,15912,23879,0.7045601436265709,0.7051713871640206,0.7099206865167078,0.5961622967628534,0.7267329671960814,0.7878695981804398
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,2200,21857,29824,0.7059245960502692,0.7066484741294807,0.7113321120125622,0.5971411901983664,0.729101938156532,0.7890186561504626
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,3000,29822,37789,0.7156193895870736,0.7168417729748214,0.7191128506197,0.6130334486735871,0.7399223648850403,0.7952984277209586
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,4000,39782,47749,0.7182764811490125,0.7197116430323053,0.7156566320494282,0.6178371391641534,0.7451097506346125,0.8002430502810269
2,20250702,3003,A2_trimer_add_trimer,trimer,trimer,4788,47628,55595,0.72,0.7217131301240085,0.7120571126388154,0.6130235226620768,0.7485884101040119,0.81318347509113
2,20250702,3003,A3_trimer_add_short,trimer,short,0,0,7967,0.6712387791741472,0.670089465996511,0.6887383356768503,0.5479410423947728,0.6964024568587306,0.7472760290556901
2,20250702,3003,A3_trimer_add_short,trimer,short,100,990,8957,0.6792818671454219,0.6786078404711622,0.6959026050530174,0.5614400476048795,0.703907294607042,0.75318141461971
2,20250702,3003,A3_trimer_add_short,trimer,short,200,1983,9950,0.6756193895870736,0.675033230083374,0.6880636604774536,0.5544554455445545,0.7014701470147015,0.7561436672967864
2,20250702,3003,A3_trimer_add_short,trimer,short,350,3475,11442,0.6817235188509875,0.6810086180182172,0.6924611088950937,0.5628423390081421,0.7067850157966,0.7619460083730331
2,20250702,3003,A3_trimer_add_short,trimer,short,500,4960,12927,0.6779174147217235,0.6770113695899178,0.6916488222698073,0.5571449638696357,0.7034377387318563,0.7558139534883721
2,20250702,3003,A3_trimer_add_short,trimer,short,700,6936,14903,0.6861041292639138,0.6851813169756249,0.7006044325050369,0.5765951190826227,0.7084493964716806,0.7550763198431593
2,20250702,3003,A3_trimer_add_short,trimer,short,900,8925,16892,0.6842369838420108,0.6831404202586778,0.6984594775619558,0.5702454895001479,0.7108564348768778,0.7530002790957299
2,20250702,3003,A3_trimer_add_short,trimer,short,1200,11897,19864,0.6876122082585279,0.6863474838634616,0.7037086985839515,0.5734968237553553,0.7121070650482415,0.7560773480662983
2,20250702,3003,A3_trimer_add_short,trimer,short,1600,15865,23832,0.6828725314183124,0.6815165876714026,0.6952859665806276,0.5593245445119241,0.7165941578620261,0.7548616817310326
2,20250702,3003,A3_trimer_add_short,trimer,short,1676,16623,24590,0.6855296229802513,0.6845055777304475,0.6984602806921923,0.5741556534508077,0.7136605189121601,0.7517458578666302
2,20250702,3003,A4_short_add_short,short,short,0,0,7936,0.6310951526032316,0.6288920092280254,0.6523258940575424,0.5099479644934191,0.6716747680070703,0.6816194103540697
2,20250702,3003,A4_short_add_short,short,short,100,990,8926,0.6255655296229803,0.6248167895761353,0.6437325905292479,0.5138909304718506,0.6660743373315563,0.6755692999718864
2,20250702,3003,A4_short_add_short,short,short,200,1983,9919,0.64,0.6398833380569965,0.6502561183836084,0.5315005727376861,0.6751708428246014,0.7026058182820901
2,20250702,3003,A4_short_add_short,short,short,350,3475,11411,0.6377019748653501,0.6369581293455401,0.6470832755992795,0.5273529411764706,0.6775989168045735,0.6957973838018369
2,20250702,3003,A4_short_add_short,short,short,500,4960,12896,0.6407181328545781,0.639640012244264,0.6557150745444505,0.5295164639572827,0.6806187443130118,0.6927097661623108
2,20250702,3003,A4_short_add_short,short,short,700,6936,14872,0.6428725314183124,0.6420780904539368,0.6505151768309663,0.5333919156414763,0.680857627641524,0.7035476417017806
2,20250702,3003,A4_short_add_short,short,short,876,8687,16623,0.6389946140035907,0.6383647473353736,0.6530103806228373,0.5334310850439883,0.6763460375075621,0.6906714861671069
3,20250703,4004,A1_short_add_trimer,short,trimer,0,0,7932,0.6294992456354623,0.6271224970061601,0.6183172002978407,0.5269531826908876,0.6617425384383478,0.7014770665975641
3,20250703,4004,A1_short_add_trimer,short,trimer,100,989,8921,0.6467418636396293,0.6433508315620772,0.6446654611211573,0.5304477611940298,0.6769088953756337,0.7213812085574878
3,20250703,4004,A1_short_add_trimer,short,trimer,200,1985,9917,0.6552194841583447,0.6521585706062045,0.6587241743326798,0.5359515724199025,0.6799509503372164,0.734007585335019
3,20250703,4004,A1_short_add_trimer,short,trimer,350,3472,11404,0.6622602198433796,0.6583970015274809,0.6677237999135073,0.5418131784130867,0.6858284660313557,0.7382225617519735
3,20250703,4004,A1_short_add_trimer,short,trimer,500,4966,12898,0.668366980386522,0.6642440437751103,0.6797889031521894,0.5441564488592271,0.6895209580838323,0.7435098650051921
3,20250703,4004,A1_short_add_trimer,short,trimer,700,6957,14889,0.675766937279977,0.6717757638075634,0.6815404291601534,0.5548105410884142,0.6996018286388438,0.7511502563428422
3,20250703,4004,A1_short_add_trimer,short,trimer,900,8952,16884,0.6826639844816438,0.6786633787217613,0.6930108282941921,0.5684210526315789,0.6989374262101535,0.7542842077511205
3,20250703,4004,A1_short_add_trimer,short,trimer,1200,11942,19874,0.6860406638407932,0.6822407265041125,0.6856253537068477,0.5708054214052033,0.7082228116710876,0.7643093192333114
3,20250703,4004,A1_short_add_trimer,short,trimer,1600,15918,23850,0.6962425461599253,0.6928325243285977,0.6982298398426524,0.5822077317186772,0.7178058081548842,0.7730867175981772
3,20250703,4004,A1_short_add_trimer,short,trimer,2200,21872,29804,0.7009842661110712,0.6977410279513717,0.7039756198919518,0.5867704280155642,0.7218969555035128,0.778321108394458
3,20250703,4004,A1_short_add_trimer,short,trimer,3000,29847,37779,0.7019182412529635,0.6987853612423209,0.7063053097345132,0.5845771144278606,0.7243934330960337,0.7798655877108764
3,20250703,4004,A1_short_add_trimer,short,trimer,4000,39801,47733,0.7088152884546304,0.7061502291337103,0.7068295391449195,0.5963288600956347,0.7334298118668596,0.7880127054274272
3,20250703,4004,A1_short_add_trimer,short,trimer,4788,47643,55575,0.712982254472304,0.7105460294579447,0.7150388457269701,0.5981538461538461,0.7382416011436741,0.7907498248072881
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,0,0,7958,0.6779222645304979,0.6724559587374361,0.6872074882995319,0.5319254248473849,0.7040757749712974,0.7666151468315301
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,100,989,8947,0.6765572239385014,0.6716416777410673,0.6911049796347392,0.5396306586043471,0.6993865030674846,0.7564445696576982
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,200,1985,9943,0.680724189956175,0.6763940007995219,0.6954781912765106,0.5463037526171687,0.7022121384004538,0.7615819209039548
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,350,3472,11430,0.6787125511890222,0.6747634840523077,0.6932059447983014,0.5469400833066325,0.6988054607508533,0.7601024473534433
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,500,4966,12924,0.6832387384151161,0.6791239347233231,0.6968085106382979,0.5515796260477112,0.7063793831854668,0.7617282190218166
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,700,6957,14915,0.6869027947410015,0.6832898039374211,0.6925955626837744,0.564358026675237,0.7082924091483093,0.7679132172423637
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,900,8952,16910,0.6908542280336231,0.6873836902816719,0.6974248927038627,0.572067753275807,0.7113124734532068,0.7687296416938111
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,1200,11942,19900,0.695524103743085,0.692461640594606,0.6929432480021671,0.5801864433559804,0.7170940170940171,0.7796228539262595
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,1600,15918,23876,0.7013434873194914,0.6984181594071639,0.702557200538358,0.587789872219593,0.7202747174130777,0.7830508474576271
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,2200,21872,29830,0.7070191824125296,0.7043866059415542,0.7088641908376254,0.5899797096925238,0.728361614145159,0.790340909090909
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,3000,29847,37805,0.7062288957540053,0.7038561509797092,0.7063427800269906,0.5955652717051843,0.7268327402135232,0.786683811973139
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,4000,39801,47759,0.710539550255047,0.7084038024026901,0.7084468664850136,0.60015467904099,0.7337986041874377,0.7912150598973189
3,20250703,4004,A2_trimer_add_trimer,trimer,trimer,4788,47643,55601,0.71291041023062,0.7110208338770883,0.7099519560741249,0.601134795276798,0.7375745526838966,0.7954220314735336
3,20250703,4004,A3_trimer_add_short,trimer,short,0,0,7958,0.6779222645304979,0.6724559587374361,0.6872074882995319,0.5319254248473849,0.7040757749712974,0.7666151468315301
3,20250703,4004,A3_trimer_add_short,trimer,short,100,993,8951,0.6820892305481716,0.6757398768996344,0.6915960912052117,0.5339578454332553,0.7123842592592593,0.7650213117008112
3,20250703,4004,A3_trimer_add_short,trimer,short,200,1986,9944,0.6841008693153243,0.6778559760803997,0.6908276225619399,0.539777445607042,0.7121278779879747,0.7686909581646424
3,20250703,4004,A3_trimer_add_short,trimer,short,350,3473,11431,0.6873338601911057,0.6825466512618699,0.6927146927146928,0.555964771817454,0.7131184073688902,0.7683887331464424
3,20250703,4004,A3_trimer_add_short,trimer,short,500,4966,12924,0.6866872620159494,0.6811339537502142,0.6915536457633946,0.5509903421181863,0.7166421207658321,0.7653497063534437
3,20250703,4004,A3_trimer_add_short,trimer,short,700,6942,14900,0.6858251311157411,0.6808427679684281,0.696207693353269,0.552212389380531,0.714391362224523,0.7605596269153897
3,20250703,4004,A3_trimer_add_short,trimer,short,900,8929,16887,0.6878367698828939,0.6826038382122094,0.6912705978482909,0.5525040387722132,0.7195500961965369,0.7670906200317965
3,20250703,4004,A3_trimer_add_short,trimer,short,1200,11905,19863,0.6853940656656369,0.6812696096480746,0.6881389161181908,0.5619886721208307,0.7154471544715447,0.7595036958817318
3,20250703,4004,A3_trimer_add_short,trimer,short,1600,15871,23829,0.6851066886989008,0.6804222066764128,0.6898558758314856,0.5580506450071667,0.7148186837785405,0.7589636220884585
3,20250703,4004,A3_trimer_add_short,trimer,short,1676,16623,24581,0.6849630002155327,0.6803385978920548,0.6870292887029289,0.5563671006668783,0.7186430590685909,0.7593149431298208
3,20250703,4004,A4_short_add_short,short,short,0,0,7932,0.6294992456354623,0.6271224970061601,0.6183172002978407,0.5269531826908876,0.6617425384383478,0.7014770665975641
3,20250703,4004,A4_short_add_short,short,short,100,993,8925,0.6282778935268338,0.6254977129589281,0.6227892142650043,0.52527103374561,0.6618662747979427,0.6920643290271553
3,20250703,4004,A4_short_add_short,short,short,200,1986,9918,0.6283497377685179,0.6256760321898834,0.6283446045280799,0.5249391727493917,0.6641074856046065,0.6853128658774554
3,20250703,4004,A4_short_add_short,short,short,350,3473,11405,0.6242546159925282,0.6224282490398412,0.6206584113560858,0.5299675228816061,0.6591342626559061,0.6799527992657663
3,20250703,4004,A4_short_add_short,short,short,500,4966,12898,0.6314390401609311,0.6282422737509061,0.6253986662800812,0.5202775636083269,0.673795224842537,0.6934976402726796
3,20250703,4004,A4_short_add_short,short,short,700,6942,14874,0.6289963359436741,0.6261869119591508,0.6312873596734218,0.5195642166641092,0.6696364420175313,0.6842596294815407
3,20250703,4004,A4_short_add_short,short,short,876,8691,16623,0.6381923988792298,0.6348508247117366,0.636271235661391,0.5251431223889834,0.6776859504132231,0.7003029903833488
4,20250704,5005,A1_short_add_trimer,short,trimer,0,0,7941,0.6125594123577704,0.613167604348789,0.6033488110313775,0.49351389878831076,0.6900682546315643,0.6657394529439036
4,20250704,5005,A1_short_add_trimer,short,trimer,100,994,8935,0.6349560708627394,0.6333338900169716,0.636055803873764,0.4976468802186124,0.7036459072208824,0.6959869687546276
4,20250704,5005,A1_short_add_trimer,short,trimer,200,1990,9931,0.6447501080224687,0.6431075215559302,0.6499063920834448,0.5044935262757045,0.707777132907719,0.7102530349568524
4,20250704,5005,A1_short_add_trimer,short,trimer,350,3484,11425,0.6577128042632867,0.655469671208075,0.6683998440140387,0.5168295331161781,0.7132826214160327,0.7233666862860506
4,20250704,5005,A1_short_add_trimer,short,trimer,500,4980,12921,0.6664986317153968,0.664946494593342,0.6778275771157395,0.5300837776085301,0.7180616740088106,0.7338129496402878
4,20250704,5005,A1_short_add_trimer,short,trimer,700,6971,14912,0.6736281146478468,0.6725868885307353,0.6827522206018826,0.5438622980522422,0.7242774566473988,0.7394555788214179
4,20250704,5005,A1_short_add_trimer,short,trimer,900,8969,16910,0.6800374477891401,0.6796790111133313,0.6847159242464658,0.5624441132637854,0.7281399046104928,0.7434161023325809
4,20250704,5005,A1_short_add_trimer,short,trimer,1200,11961,19902,0.6839262566613856,0.6831535587493436,0.6911589797806265,0.5592402773590593,0.730514811619212,0.7517001662384767
4,20250704,5005,A1_short_add_trimer,short,trimer,1600,15947,23888,0.6914878294685295,0.6914702771321314,0.6926945473795659,0.573303504847129,0.7366766680954422,0.7632063882063882
4,20250704,5005,A1_short_add_trimer,short,trimer,2200,21922,29863,0.7023620913149935,0.7027544550113698,0.7031167459059694,0.5875370919881305,0.7441794434980125,0.7761845386533666
4,20250704,5005,A1_short_add_trimer,short,trimer,3000,29879,37820,0.710427768975947,0.7109355573328648,0.7060225016545334,0.598663697104677,0.7560907308877065,0.7829652996845425
