molecule,metal,length,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
A|Ni+2,Ni+2,1,0.031725624114310756,0.019460128979425048,0.0025651333622367144,0.019045897812103287,-0.005644094499940752,0.025129610155314567,0.03628389472349515,-0.014377661974740797,-0.0011457787217737502,-0.027977517247481026
E|Co+2,Co+2,1,0.003539594764996417,0.0109121298454968,-0.02049959236238521,-0.015587484572629727,-0.00027908933467257757,0.028730094931532186,0.03354493326129234,0.010164029827572127,0.00788849554500167,0.012454315503764947
C|Zn+2,Zn+2,1,-0.007198335901221575,-0.020529822957686183,-0.011304351793897594,-0.009331005889633374,-0.015878965009040936,0.00558951576039608,-0.008646007673749252,-0.00357239247175809,0.00664949140069072,-0.01355342054452821
W|Cu+2,Cu+2,1,0.01588691019424643,-0.005207335256325731,0.007058928093347359,-0.00858052772995967,0.002007574335358883,0.027585593238577316,0.006982278565360714,-0.01662186865414885,-0.008735287298022167,0.009424433615653012
T|Cu+2,Cu+2,1,-0.03745049710178058,0.0073864958231470036,-0.004559737006515599,-0.0262796692029761,-0.0087722697250197,-0.005656337314319867,0.02077088617831946,-0.019145179505509653,-0.002703854118876615,0.006892025059649604
N|Co+2,Co+2,1,-0.01163989417644399,-0.017407534614996244,-0.0034515726710805743,-0.0012981329738451417,-0.01181894557277057,0.0015012206157804537,-0.005403315062363976,-0.01887123998608723,-0.0026010956084415292,0.012400006532143588
S|Ni+2,Ni+2,1,0.021964860087610616,0.016760011761078775,-0.009535604371773799,-0.01773141771320785,0.011452710853467234,0.02816202929350784,-0.007008484753153318,0.01122394704445359,-0.007423594525417,-0.019901050210157725
K|Co+2,Co+2,1,0.007966199553166808,-0.005378204885778502,-0.009309575385426904,-0.005014511588552811,0.0016799123107968435,0.024196451862365704,0.00379171737287145,0.005038904569421812,-0.005363548938857393,3.567228677961009e-06
P|Ni+2,Ni+2,1,0.029392462366874816,-0.003401451614432122,0.010714877379354469,0.016785900393744994,0.0038057531319864637,0.012770441861150847,0.023749844517904496,-0.011535846918771688,0.0015716412740653996,-0.023657143175995966
N|Co+2,Co+2,1,-0.011955448447339392,-0.006437566807003222,-0.005303141870498204,0.006554805901019557,-0.010621256252098607,-0.0051177393016009825,-0.0010601471837469985,-0.02028231350983313,-0.006388321419626804,0.017143972867041283
K|Zn+2,Zn+2,1,-0.01457275040856271,-0.017383032759158243,-0.0050788607988485135,-0.004578385713708772,-0.01148974443400958,0.007052383697195091,0.0027850583768058252,0.006278780240145623,-0.009230884143236787,-0.004944999754146541
M|Co+2,Co+2,1,-0.015216703422457904,-0.004568625524977522,-0.017982711696536226,-0.027608533811035927,0.014436639076599265,-0.0017821318746518674,0.02064339593717329,-0.019370547270835647,-0.02088590257551309,-0.0066140978275682554
H|Zn+2,Zn+2,1,-0.010790089549541065,-0.016012898913134697,-0.0033317012689355317,-0.003758848763114355,-0.014045978669004498,0.0011270899015527992,0.00015627182097475902,0.01493884347028099,0.008238891673399766,-0.014119112353600258
E|Ni+2,Ni+2,1,0.0021931107990308778,0.004300303191234861,0.008014470751251727,0.02062093091215149,0.0013398346530018469,0.011648692075938973,0.0236121269270243,-0.008449946283398688,-0.0028794290343690447,-0.009194348912816678
C|Ni+2,Ni+2,1,0.04185773389200801,-0.0047398182564009576,-0.0020784172998912762,0.010018376560799225,-0.0103087947491861,-0.0027534787430669224,-0.005994055789462887,-0.005695025453416552,-0.026973303809534104,-0.0031520470961970905
L|Cu+2,Cu+2,1,0.00658184631882942,-0.004617445857545854,-0.017790833375878015,0.005141758940584462,-0.017394042442651525,0.016675121964811166,0.019437024171894676,-0.005325139061781977,0.012921908885322577,-0.029797265408376513
K|Ni+2,Ni+2,1,0.028437210700871518,-0.0003282499802520064,-0.0007505269510571769,-0.010761081772342432,0.013950365022284463,0.028507001369142883,-0.007280502669525545,0.007093894978960156,-0.013555232296511933,0.007262152667517835
V|Zn+2,Zn+2,1,0.006499962029710739,-0.028238706597048305,0.0005746745101406216,-0.01307339875877011,-0.003214226715908243,0.006126774953405768,-0.003161194071682274,0.0033865716412425054,0.012939126006059433,-0.01284006207017568
G|Cu+2,Cu+2,1,-0.026619904157134028,-0.0017266845273184632,-0.01447292856871747,-0.02157220015669383,-0.00806259097185848,0.006692366987580978,0.028902844874759956,-0.0019629686487266096,0.01628510803954914,-0.0066367707026267295
V|Co+2,Co+2,1,0.0009909830278416326,0.004842619240152082,-0.010146991526102213,-0.011681593017651523,-0.007471227886070452,0.009969233204349927,0.0041933100681606035,0.0011620377175257718,-0.01004045810026596,-0.01870113626445516
Y|Cu+2,Cu+2,1,-0.03321974253166593,0.004710470569700417,-0.005717513177216697,-0.008473033334129236,0.006244032208760292,-0.02570133871881512,0.013497427234614251,-0.013067140839599924,-0.040249685592408845,0.009364427323097082
A|Cu+2,Cu+2,1,-0.03375502562771317,-0.010805892642151373,-0.017198996980485843,0.009382050685986753,-0.00012008676695436822,-0.0035302243429499035,0.0005177624759845076,-0.004209577414612272,-0.001798677766568984,-0.0011571522850447758
