wavenumber,PC1_loading,PC2_loading
460,0.07778795951006198,-0.0731046761851472
465,0.09381829654859951,-0.07927847655411849
470,0.11033227403464693,-0.08294715543190916
475,0.12846284561208415,-0.08346254496232715
480,0.14651664448731783,-0.079741003231636
485,0.1610166552365388,-0.07153793064494142
490,0.17143632332976474,-0.06063225568823773
495,0.18006529836231036,-0.04735155096041026
500,0.1881821686898079,-0.02920493115262892
505,0.19428413342442385,-0.004346239338940625
510,0.19798645296300718,0.028786994536131306
515,0.20344430236885772,0.0718244090370286
520,0.21225776129884796,0.12388424256362125
525,0.21783237485853946,0.18237323805858247
530,0.2111865570876913,0.24264026004125788
535,0.18887523525306296,0.29437434405155627
540,0.15215316217353364,0.3241458947588545
545,0.10446872946193045,0.32628444806084095
550,0.05276835650125639,0.30785114427214955
555,0.005594088108649103,0.2799957187611797
560,-0.03227049752809238,0.2489727037438849
565,-0.061241481064932615,0.2161827422194623
570,-0.0817733635503276,0.18059809261837842
575,-0.09175669981498077,0.1399646999585926
580,-0.09129626193189025,0.09692639138883243
585,-0.0847882739579372,0.060501469263926605
590,-0.07650263033076293,0.03659049015703468
595,-0.0676939897304535,0.023226612152693452
600,-0.05885332409034697,0.015964529061268332
605,-0.05138655519736414,0.012497738026519557
610,-0.04672944075932846,0.011115595921594057
615,-0.04508204136203697,0.009550003502084488
620,-0.04464824652948571,0.007629849390312871
625,-0.04288612685816108,0.006754537129777794
630,-0.03854837408813013,0.006010481694782542
635,-0.03230984494279592,0.003419478721558535
640,-0.02598022168465386,-6.819140749580649e-06
645,-0.020872833886077004,-0.0017926358577910035
650,-0.017163421121017996,-0.0016568651926704325
655,-0.015316975728858902,-0.001109918894576064
660,-0.01615948216704914,-0.0012584794655051046
665,-0.01854690172068628,-0.0023804761052029517
670,-0.020161783233791006,-0.003420795797188184
675,-0.020470052757395763,-0.002808879384073653
680,-0.02020770958793109,-0.0011673612910138922
685,-0.019164499869549156,-0.0008405184690523903
690,-0.016922849494539045,-0.0033834208424035044
695,-0.014367759041004756,-0.00791875796020802
700,-0.012465206482997504,-0.011712336560191248
705,-0.010743314637182116,-0.013282267838639415
710,-0.009347761289782215,-0.013597929225566059
715,-0.010327497844194377,-0.014192613632259867
720,-0.014524296087078944,-0.015143595470622218
725,-0.019198412931776578,-0.014965442484605
730,-0.020993860582613436,-0.012442946170946986
735,-0.019772752409469168,-0.007980769306391909
740,-0.01789034255857614,-0.0029020314191552914
745,-0.017097776649654405,0.0013849420682079477
750,-0.017092749507488302,0.003746089958014253
755,-0.016559273350420862,0.005050880231641675
760,-0.015445489727550612,0.00707841444336968
765,-0.014652794398918126,0.009444973593362578
770,-0.014270486509685865,0.010235426503604352
775,-0.013813955710905733,0.008880353049359462
780,-0.012863862760208764,0.007051023478356186
785,-0.01165363622630834,0.0059250259720132975
790,-0.010563406975071037,0.005231147635618025
795,-0.009539638458128483,0.00560366407321329
800,-0.008856452378798967,0.007766804357728159
805,-0.008891035844070208,0.01044570874865292
810,-0.009080409216447415,0.011567738252658897
815,-0.008870177021187914,0.010589298313141773
820,-0.008559239283879114,0.008790887255616631
825,-0.008387533437971448,0.007876506905193332
830,-0.008339061195879103,0.008110409115099963
835,-0.008244782503430225,0.008187452381254068
840,-0.007849269889997764,0.007633444655637022
845,-0.007387383308702824,0.007411218997033741
850,-0.007207313697880222,0.007956952227641473
855,-0.0074072671530740234,0.008517115713897808
860,-0.007845357445018502,0.008540480876641368
865,-0.007859495167078226,0.008305814388637915
870,-0.0070509499919042765,0.008565252821456629
875,-0.005953722934593602,0.009491932700137038
880,-0.005370802388004701,0.010179431794283305
885,-0.005576149753858849,0.009990332248873973
890,-0.006034089994440233,0.009051758603002275
895,-0.0061227042068547795,0.007908899067582994
900,-0.005859786083937051,0.007044259593994708
905,-0.005727160598511876,0.006418910076282794
910,-0.005906003079534523,0.005962103169306131
915,-0.006103697223066985,0.005640856840688915
920,-0.00629398301349599,0.005355020935698421
925,-0.006850694063515115,0.005427834051657919
930,-0.007882383968014654,0.005996590693285432
935,-0.008970401777221743,0.006681797518028174
940,-0.009729077705912956,0.007389225616025513
945,-0.010137244156468078,0.00820303480742953
